loc_name,for_name,ruta,cpZone,cpArea,cpGrid,GPSlat,GPSlon
ZLGUZE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\ZLGUZE.ElmSubstat,,,NORTE 138 kV,19.867348027237732,-70.81578285459594
ZRSJUE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZRSJUE.ElmSubstat,,,NORTE 138 kV,19.6308,-70.06562
ZMATRE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Matrisol.ElmSite\ZMATRE.ElmSubstat,,,NORTE 138 kV,19.53592,-70.00046
ZESPEE,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Esperanza.ElmSite\ZESPEE.ElmSubstat,,,NORTE 138 kV,19.581301228121,-70.95985247127
ZSYEGF,ZSYEGF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabana Yegua.ElmSite\ZSYEGF.ElmSubstat,,SUR,SUR 69 kV,0.0,0.0
ZBMATF,ZBMATF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZBMATF.ElmSubstat,,SUR,SUR 69 kV,0.0,0.0
ZSJUAF,ZSJUAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZSJUAF.ElmSubstat,,SUR,SUR 69 kV,0.0,0.0
ZSABAF,ZSABAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Sabaneta.ElmSite\ZSABAF.ElmSubstat,,SUR,SUR 69 kV,0.0,0.0
ZCOCOF,ZCOCOF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZCOCOF.ElmSubstat,,SUR,SUR 69 kV,0.0,0.0
ZMAGUF,ZMAGUF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Magueyal.ElmSite\ZMAGUF.ElmSubstat,,SUR,SUR 69 kV,0.0,0.0
ZVALTF,ZVALTF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZVALTF.ElmSubstat,,CENTRAL,SUR 69 kV,0.0,0.0
ZRPETF,ZRPETF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZRPETF.ElmSubstat,,CENTRAL,SUR 69 kV,0.0,0.0
