loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,barra(bus2),barra(bus2)_for,barra(bus2)_id,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,on_off,aUsage
IS1.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\IS1.2.ElmCoup,345 kV Punta Catalina B1,WPCA1D,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\345 kV Punta Catalina B1.ElmTerm,T1.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T1.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,dct
IS3.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\IS3.2.ElmCoup,345 kV Punta Catalina B1,WPCA1D,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\345 kV Punta Catalina B1.ElmTerm,T3.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T3.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,dct
IS2.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\IS2.2.ElmCoup,345 kV Punta Catalina B2,WPCA2D,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\345 kV Punta Catalina B2.ElmTerm,T2.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T2.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,dct
IS4.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\IS4.2.ElmCoup,345 kV Punta Catalina B2,WPCA2D,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\345 kV Punta Catalina B2.ElmTerm,T4.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T4.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,dct
ZPCA1D_ZJSA1D-L2-Q1,ZPCA1D_ZJSA1D-L2-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\ZPCA1D_ZJSA1D-L2-Q1.ElmCoup,T1.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T1.2.ElmTerm,T1.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T1.1.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,cbk
WPCA2D_WPCA2K-T1-Q1,WPCA2D_WPCA2K-T1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\WPCA2D_WPCA2K-T1-Q1.ElmCoup,T2.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T2.2.ElmTerm,T2.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T2.1.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,cbk
ZPCA1D_ZJSA1D-L1-Q1,ZPCA1D_ZJSA1D-L1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\ZPCA1D_ZJSA1D-L1-Q1.ElmCoup,T3.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T3.2.ElmTerm,T3.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T3.1.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,cbk
WPCA2D_WPCA1K-T1-Q1,WPCA2D_WPCA1K-T1-Q1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\WPCA2D_WPCA1K-T1-Q1.ElmCoup,T4.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T4.2.ElmTerm,T4.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T4.1.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,cbk
CBa,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\CBa.ElmCoup,Ta.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\Ta.1.ElmTerm,Ta.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\Ta.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,cbk
CBb,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\CBb.ElmCoup,Tb.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\Tb.1.ElmTerm,Tb.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\Tb.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,cbk
IS5.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\IS5.2.ElmCoup,345 kV Punta Catalina B1,WPCA1D,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\345 kV Punta Catalina B1.ElmTerm,T5.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T5.2.ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,1,dct
IS4.2(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\IS4.2(1).ElmCoup,345 kV Punta Catalina B2,WPCA2D,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\345 kV Punta Catalina B2.ElmTerm,T4.2(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATD.ElmSubstat\T4.2(1).ElmTerm,0,SUR CERCANO,SUR,Expansión 345 kV,ZPCATD,,0.0,0.0,0.0,0,dct
