loc_name,for_name,ruta,barra(bushv),barra(bushv)_for,barra(buslv),barra(buslv)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,ntnum,nntap,i_cont,usetp
138/69 kV Transformador SPM,WSPMAE_WSPMAF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\138/69 kV Transformador SPM.ElmTr2,L1,,1,,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/69 kV SPM T1 (125 MVA),0.0,0.0,1,-2,0,1.0
138/69 kV Transformador Hato Mayor 2,WHMA2E_WHMA2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Hato Mayor 2.ElmSite\138/69 kV Transformador Hato Mayor 2.ElmTr2,2,,1,,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/69 kV Hato Mayor 2 T1 (80MVA),0.0,0.0,1,-3,0,1.0
138/34.5 kV Transformador PS El Soco,WESOCE_WESOCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\138/34.5 kV Transformador PS El Soco.ElmTr2,2,,Terminal Parque Solar El Soco,WXESOK,0,ESTE CERCANO,ESTE,ESTE 138 kV,,138/34.5 kV Trafo El Soco 80 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador PF Cumayasa 1,WCUMAE_WXCU1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\138/34.5 kV Transformador PF Cumayasa 1.ElmTr2,L1,,Terminal PF Cumayasa 1,WXCU1K,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,,138/34.5 kV Trafo Cumayasa 65 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador PF Cumayasa 2,WCUMBE_WXCU2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Cumayasa.ElmSite\138/34.5 kV Transformador PF Cumayasa 2.ElmTr2,R2,,Terminal PF Cumayasa 2,WXCU2K,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,,138/34.5 kV Trafo Cumayasa 65 MVA,0.0,0.0,1,0,0,1.0
138/69 kV Transformador ZF Santiago,WZSANE_WZSANF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZF Santiago.ElmSite\138/69 kV Transformador ZF Santiago.ElmTr2,E6,,1,,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/69 kV ZF Santiago T1 (140 MVA),0.0,0.0,1,0,0,1.0
138/69 kV Transformador Bonao 2,WBON2E_WBON2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Bonao 2.ElmSite\138/69 kV Transformador Bonao 2.ElmTr2,E2,,F1,,0,CIBAO SUR,NORTE,NORTE 138 kV,,138/69 kV Bonao 2 T1 (140 MVA),0.0,0.0,1,-4,0,1.0
13.8/4.16 kV Transformador CE Monción,WZMONK_WCEMOK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\13.8/4.16 kV Transformador CE Monción.ElmTr2,13.8 kV Zona Monción,WZMONK,Terminal Contra Embalse Monción,WCEMOK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,13.8/4.16 kV Trafo C.E Monción 4 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Transformador Monción 2,WMONCE_WMONCK-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\138/13.8 kV Transformador Monción 2.ElmTr2,3,,Terminal Monción,WMONCK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Monción 30 MVA,0.0,0.0,1,2,0,1.0
138/13.8 kV Transformador Monción 1,WMONCE_WMONCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\138/13.8 kV Transformador Monción 1.ElmTr2,2,,Terminal Monción,WMONCK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Monción 30 MVA,0.0,0.0,1,2,0,1.0
13.8/4.16 kV Transformador Zona Monción,WMONCK_WZMONK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\13.8/4.16 kV Transformador Zona Monción.ElmTr2,Terminal Monción,WMONCK,13.8 kV Zona Monción,WZMONK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,,13.8/13.8 kV Trafo Moncion 5 MVA,0.0,0.0,1,0,0,1.0
138/13.8 kV Trafo Pimentel Grupo 3,WPIMEE_WPIM3K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138/13.8 kV Trafo Pimentel Grupo 3.ElmTr2,R2,,Terminal Pimentel Grupo 3,WPIM3K,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Pimentel 3 100 MVA,0.0,0.0,1,1,0,1.0
138/13.8 kV Trafo Pimentel Grupo 2,WPIMEE_WPIM2K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138/13.8 kV Trafo Pimentel Grupo 2.ElmTr2,R1,,R1,,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Pimentel 2 60 MVA,0.0,0.0,1,1,0,1.0
138/13.8 kV Trafo Pimentel Grupo 1,WPIMEE_WPIM1K-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138/13.8 kV Trafo Pimentel Grupo 1.ElmTr2,L1,,L1,,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/13.8 kV Trafo Pimentel 1 60 MVA,0.0,0.0,1,1,0,1.0
138/69 kV Transformador 2 Canabacoa,WCANAE_WCANBF-T2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\138/69 kV Transformador 2 Canabacoa.ElmTr2,L8(1),,L4(1),,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/69 kV Canabacoa T2 (140 MVA),0.0,0.0,1,-2,0,1.0
138/69 kV Transformador Canabacoa,WCANAE_WCANBF-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\138/69 kV Transformador Canabacoa.ElmTr2,L1,,Tap 69 kV provisional Canabaoca,WXPCAF,1,CIBAO NORTE,NORTE,NORTE 138 kV,,132/66 kV Canabacoa T1 (200 MVA),0.0,0.0,1,-5,0,1.0
138/69 kV Trafo Puerto Plata 2,WPPL2E_WPPL2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Puerto Plata 2.ElmSite\138/69 kV Trafo Puerto Plata 2.ElmTr2,E7,,1,,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/69 kV Puerto Plata 2 T1 (140 MVA),0.0,0.0,1,5,0,1.0
138/69 kV Transformador Nagua 2,WNAG2E_WNAG2F-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Nagua.ElmSite\138/69 kV Transformador Nagua 2.ElmTr2,WNAG2E(1),,1,,0,CIBAO NORESTE,NORTE,NORTE 138 kV,,138/69 kV Nagua 2 T1 (70 MVA),0.0,0.0,1,0,0,1.0
138/13.8 Transformador López Angostura,WLANGE_WLANGK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\López Angostura.ElmSite\138/13.8 Transformador López Angostura.ElmTr2,WLANGE(2),,Terminal López Angostura,WLANGK,0,CIBAO NORTE,NORTE,NORTE 138 kV,,138/13.8 kV López Angostura 23 MVA,0.0,0.0,1,0,0,1.0
138/34.5 kV Transformador FALCONDO,WFALCE_WFALCK-T1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\ZFALCE.ElmSubstat\138/34.5 kV Transformador FALCONDO.ElmTr2,WFALCE(2),,R4,,1,CIBAO SUR,NORTE,NORTE 138 kV,ZFALCE,138/34.5 kV Falcondo T1 (133 MVA),0.0,0.0,1,0,0,1.0
