loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus2),barra(bus2)_for,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,GPSlat,GPSlon,Inom,on_off,aUsage
CB4,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\CB4.ElmCoup,T2.4,,T2.3,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,cbk
IS1.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS1.1.ElmCoup,T1.1,,1,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS1.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS1.2.ElmCoup,Terminal Monte Plata Solar,WMPSOK,T1.2,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS2.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS2.1.ElmCoup,T1.3,,2,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS2.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS2.2.ElmCoup,Terminal Monte Plata Solar,WMPSOK,T1.4,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS3.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS3.1.ElmCoup,T2.1,,3,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS3.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS3.2.ElmCoup,Terminal Monte Plata Solar,WMPSOK,T2.2,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS4.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS4.1.ElmCoup,T2.3,,4,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS4.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS4.2.ElmCoup,Terminal Monte Plata Solar,WMPSOK,T2.4,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS5.2,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS5.2.ElmCoup,Terminal Monte Plata Solar,WMPSOK,T1.4(1),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
G3MPSOLA-Q1(1),,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\G3MPSOLA-Q1(1).ElmCoup,T1.4(1),,T1.3(1),,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,cbk
IS5.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\IS5.1.ElmCoup,T1.3(1),,5,,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,,0.0,0.0,0.0,1,dct
IS2.1,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS2.1.ElmCoup,T2.1,,2,,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,ZBVISF,,0.0,0.0,0.0,1,dct
