loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,typ_id,GPSlat,GPSlon,Inom,ngnum,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,mode_inp,phtech,bustp,phiini
Monción 1,G3MONCI1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\Monción 1.ElmSym,Terminal Monción,WMONCK,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,Hydro,,Monción,0.0,0.0,1.2551093101501465,1,23.5,0.0,1.0,constq,0,26.0,0.0,1.0,-1.0,23.0,DEF,1,PQ,0.0
Pimentel 3,G3PIMEN3,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Pimentel 3.ElmSym,Terminal Pimentel Grupo 3,WPIM3K,0,CIBAO NORESTE,NORTE,NORTE 138 kV,Diesel,,Pimentel 3,0.0,0.0,2.679030656814575,3,8.119999885559082,0.0,1.0,constq,0,17.200000762939453,0.0,1.0,-1.0,17.0,DEF,1,PQ,0.0
Pimentel 2,G3PIMEN2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Pimentel 2.ElmSym,R2,,1,CIBAO NORESTE,NORTE,NORTE 138 kV,Diesel,,Pimentel 2,0.0,0.0,1.457934856414795,4,1.000000013351432e-10,0.0,1.0,constv,0,6.969600200653076,0.0,1.0,-1.0,6.969600200653076,DEF,1,PV,0.0
Pimentel 1,G3PIMEN1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\Pimentel 1.ElmSym,L2,,1,CIBAO NORESTE,NORTE,NORTE 138 kV,Diesel,,Pimentel 1,0.0,0.0,1.6435238122940063,4,1.000000013351432e-10,0.0,1.0,constv,0,7.856800079345703,0.0,1.0,-1.0,7.849999904632568,DEF,1,PV,0.0
López Angostura,G3LANGOS,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\López Angostura.ElmSite\López Angostura.ElmSym,Terminal López Angostura,WLANGK,0,CIBAO NORTE,NORTE,NORTE 138 kV,Hydro,,López Angostura,0.0,0.0,0.9622504115104675,1,8.920000076293945,0.0,1.0,constv,0,18.399999618530273,0.0,1.0,-1.0,6.0,DEF,1,PV,0.0
Baiguaque 2,G3BAIGU2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Site.ElmSite\Baiguaque 2.ElmSym,Terminal 1 Baiguaque,WBAI1K,1,CIBAO NORTE,NORTE,NORTE 138 kV,Others,,Baiguaque,0.0,0.0,1.075971007347107,1,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,0,0.656000018119812,0.0,1.0,-1.0,0.656000018119812,DEF,1,PQ,0.0
Baiguaque 1,G3BAIGU1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Site.ElmSite\Baiguaque 1.ElmSym,Terminal 1 Baiguaque,WBAI1K,0,CIBAO NORTE,NORTE,NORTE 138 kV,Others,,Baiguaque,0.0,0.0,1.075971007347107,1,0.20000000298023224,0.09686440974473953,1.0,constq,0,0.656000018119812,0.0,1.0,-1.0,0.656000018119812,DEF,1,PQ,0.0
Tavera 2,G3TAVER2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Tavera.ElmSite\Tavera 2.ElmSym,Terminal Tavera 2,WTAV2K,1,CIBAO NORTE,NORTE,NORTE 138 kV,Hydro,,Tavera 2,0.0,0.0,2.510218620300293,1,1.000000013351432e-10,0.0,1.0,constq,0,48.0,0.0,1.0,-1.0,48.0,DEF,1,PQ,0.0
Tavera 1,G3TAVER1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Tavera.ElmSite\Tavera 1.ElmSym,Terminal Tavera 1,WTAV1K,0,CIBAO NORTE,NORTE,NORTE 138 kV,Hydro,,Tavera 1,0.0,0.0,2.510218620300293,1,44.900001525878906,0.0,1.0,constv,0,48.0,0.0,1.0,-1.0,43.0,DEF,1,PV,0.0
San Felipe TG,G3SFELIG,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\San Felipe TG.ElmSym,WSFEGK(7),,1,CIBAO NORTE,NORTE,NORTE 138 kV,Diesel,,San Felipe TG,0.0,0.0,4.264024257659912,1,1.000000013351432e-10,0.0,1.0,constv,0,88.67040252685547,0.0,1.0,-1.0,88.67040252685547,DEF,1,PV,0.0
