nombre,fuera_servicio,zona,area,red,ruta,cerrado,uso,subestacion
IS4.2,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\IS4.2.ElmCoup,1,dct,ZBVISF
ZBVISF_ZXCHAF-L1-Q1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\ZBVISF_ZXCHAF-L1-Q1.ElmCoup,1,cbk,ZBVISF
ZBVISF-D1-Q1,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\ZBVISF-D1-Q1.ElmCoup,1,cbk,ZBVISF
CB4,0,ESTE PROFUNDO,ESTE,ESTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZBVISF.ElmSubstat\CB4.ElmCoup,1,cbk,ZBVISF
disconnector(2),0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(2).ElmCoup,1,dct,ZCINAF
disconnector(1),0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(1).ElmCoup,1,dct,ZCINAF
ZCINAF-D1-Q1,0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\ZCINAF-D1-Q1.ElmCoup,1,cbk,ZCINAF
disconnector(4),0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(4).ElmCoup,1,dct,ZCINAF
disconnector(5),0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\disconnector(5).ElmCoup,1,dct,ZCINAF
ZCINAF-D1-Q1(1),0,SUR CERCANO,SUR,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCINAF.ElmSubstat\ZCINAF-D1-Q1(1).ElmCoup,1,cbk,ZCINAF
disconnector(3),0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\disconnector(3).ElmCoup,1,dct,ZDESPF
