Avg(SOCKETS.GPS_LAT_S),SOCKETS.GPS_LONG_S,Min(Puntos_Suministro.PUNTO),Min(Puntos_Suministro.TIPO),Min(Puntos_Suministro.TENSION),Min(Puntos_Suministro.AGENTE)
18.426202,-70.1287249,SAN CRISTOBAL NORTE T1,RETIRO,138 KV,EDESUR
18.426262,-69.635153,ZF MULTIMODAL CAUCEDO,UNR,69 KV,AES ANDRES
18.426521,-69.998355,CARIBETRANS,UNR,12.5 KV,SEABOARD
18.42681,-69.41238,INVERSIONES COSTA CARIBE,UNR,12.5 KV,EDEESTE
18.42766748,-70.04742466,QUALA DOMINICANA,UNR,12.5,EDESUR
18.4285804,-68.987578,ROMANA PUEBLO T03,RETIRO,69,EDEESTE
18.4303919,-69.6764747,AERODOM LAS AMERICAS,UNR,69 KV,EGEHAINA
18.4321944,-69.9897222,CENTRO DE OPERACIONES,RETIRO,69 KV,EDESUR
18.4345429,-68.9943921,GRUPO RAMOS SIRENA ROMANA,UNR,12.5,EGEHAINA
18.436284,-69.986617,SANTO DOMINGO COUNTRY CLUB C1,UNR,12.5,EGEHAINA
18.4379219,-70.2575492,AGUACATE 1,CENTRAL,138 KV,EGEHID
18.4379722,-70.7423056,AZUA,RETIRO,69 KV,EDESUR
18.4400744,-70.0092373,OLEODUCTO FALCON,RETIRO,69 KV,EDESUR
18.440296,-69.981162,EDITORA CORRIPIO,UNR,12.5,EDESUR
18.4403124,-69.9459197,METALDOM,CENTRAL,138 KV,METALDOM
18.4410751,-69.9436609,MATADERO,RETIRO,138 KV,EDESUR
18.4413,-69.94077,CERVECERÍA NACIONAL DOMINICANA 30 DE MAYO,UNR,12.5 KV,MATRISOL, S.A.S.
18.4421801,-69.4261687,JUAN DOLIO,RETIRO,138 KV,EDEESTE
18.4433,-68.8871,RIO CHAVON,RETIRO,69 KV,EDEESTE
18.4433586,-69.2544385,COASTAL PETROLEUM,UNR,12.5,EGEHAINA
18.443567,-68.978704,ZF ROMANA 2,UNR,12.5 KV,SEABOARD
18.4441207,-68.8304035,BENEDICTO,RETIRO,69 KV,EDEESTE
18.445263,-68.98382,LA ROMANA 138,RETIRO,138 KV,EDEESTE
18.445416,-68.983686,LA ROMANA T1,RETIRO,69 KV,EDEESTE
18.445416,-68.98384,LA ROMANA T2,RETIRO,69 KV,EDEESTE
18.44578S,-68.98366E,LA ROMANA 138 T02,RETIRO,138,EDEESTE
18.445863,-69.980122,TORGINOL,UNR,69 KV,EDESUR
18.4475707,-69.9302023,BEPENSA,UNR,12.5,AES ANDRES
18.4481714,-69.6046777,HOTEL HAMACA,UNR,12.5 KV,EGEHAINA
18.44821,-69.978168,NESPLAS C1,UNR,12.5,EGEHAINA
18.44835682,-69.25208556,PARQUE FOTOVOLTAICO COASTAL T01,GENERACION,138,COASTAL PETROLEUM DOMINICANA
18.448617,-69.253226,PARQUE FOTOVOLTAICO COASTAL T02,GENERACION,138,COASTAL PETROLEUM DOMINICANA
18.4495685,-69.9801671,HERRERA NUEVA T2,RETIRO,69 KV,EDESUR
18.4497572,-69.9804165,HERRERA 138 kV,RETIRO,138 KV,EDESUR
18.449802,-69.318019,SULTANA DEL ESTE,CENTRAL,138 KV,EGEHAINA
18.449809,-69.661796,PARQUE CIBERNÉTICO C1,UNR,12.5,EGEITABO
18.449857,-69.661829,PARQUE CIBERNETICO,RETIRO,69 KV,EDEESTE
18.45091S,-69.95287E,DOWNTOWN CENTER C1,UNR,12.5,EGEHAINA
18.4511834,-69.9705487,ABCO,UNR,69 KV,EDESUR
18.4512031,-69.9815566,ALUMINIOS DOMINICANOS,RETIRO,69 KV,EDESUR
18.45212,-69.317376,SERVICIO ESTACION SULTANA DEL ESTE,RETIRO,138,EGEHAINA
18.45314,-69.28846,ZF SAN PEDRO DE MACORIS,UNR,69 KV,AES ANDRES
18.454175,-69.947133,EMBAJADOR T1,RETIRO,138 KV,EDESUR
18.454216,-69.947033,EMBAJADOR T2,RETIRO,138 KV,EDESUR
