bus_id_modom,bus_name,bus_id_legacy,bus_name_legacy,code_changed,appears_in_mapping,appears_in_e_datred,e_datred_endpoint_count,v_nom_kv,v_nom_inference_method,v_nom_confidence,bus_role,source_sheet_primary,bus_origin
WXHE2F,TAP 2 HERRERA,WXHE2F,TAP HERRERA 2 VIRTUAL,NO,True,False,0,69.0,suffix_F_default,medium,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WXHHIF,TAP HARINAS DEL HIGUAMO,WHHIGF,TAP HARINAS DEL HIGU,SI,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXHJBF,TAP HOSPITAL JUAN BOSH,WXHJBF,TAP HOSP JUAN BOSH,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXHMSF,TAP HOSPITAL METROPOLITANO SANTIAGO,WXHMSF,TAP HOSP METROP STGO,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXHNAF,TAP HIELOS NACIONALES,WXHNAF,TAP HIELOS NACIONALE,NO,True,False,0,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXHNUF,TAP HATO NUEVO,WXHNUF,TAP HATO NUEVO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXIBAF,TAP INGENIO BARAHONA,WXIBAF,TAP INGENIO BARAHONA,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXICAF,TAP INGENIO CAEI,WXICAF,TAP INGENIO CAEI,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXICNF,TAP INCARNA,WXICNF,TAP INCARNA,NO,True,False,0,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WXIDAF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXIDUF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
WXIISF,,,,,False,True,3,69.0,suffix_F_default,medium,network,e_datred,e_datred_only
