nombre,ruta,systp,sline,frnom
T.ACERO S1(2)/1C/69/1xF/559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/1C/69/1xF/559 AAAC.TypTow,0,1.0,60.0
P.MADERA TP-IG 55 P/69 - 450 ACAR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA TP-IG 55 P/69 - 450 ACAR.TypTow,0,1.0,60.0
P.MADERA/1C/69/1xF - 2/0 CU,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/1C/69/1xF - 2/0 CU.TypTow,0,1.0,60.0
T.ACERO S2(2)/2C/ 69/559.5 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2(2)/2C/ 69/559.5 AAAC.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 559.5 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 559.5 AAAC.TypTow,0,1.0,60.0
P.MADERA/69 TH-1G- 477 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\P.MADERA/69 TH-1G- 477 ACSR.TypTow,0,1.0,60.0
T.ACERO S2/1C/138/2xF - 477 ACSR(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2/1C/138/2xF - 477 ACSR(1).TypTow,0,1.0,60.0
T.ACERO S1(2)/2C/138/1xF/477 ACSR,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1(2)/2C/138/1xF/477 ACSR.TypTow,0,1.0,60.0
T.ACERO 1C 3xF 345 KV Punta Catalina,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO 1C 3xF 345 KV Punta Catalina.TypTow,0,1.0,60.0
T.ACERO PDS3/2C/1xF -559 AAAC,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO PDS3/2C/1xF -559 AAAC.TypTow,0,1.0,60.0
T.ACERO S1/2C/34.5kV/2xF - 465.4 MCM,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S1/2C/34.5kV/2xF - 465.4 MCM.TypTow,0,1.0,60.0
T.ACERO S2/2C/138/2xF-559.5 AAAC y OPGW,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Tower\T.ACERO S2/2C/138/2xF-559.5 AAAC y OPGW.TypTow,0,1.0,60.0
