nombre,ruta,nntap0,strn,utrn_h,utrn_l,uktr,uk0tr,pcutr,pfe,curmg,vecgrp,tap_side,ntpmn,ntpmx,dutap,phitr,r1pu,x1pu,frnom
138/13.8 kV Trafo METALDOM 60 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo METALDOM 60 MVA.TypTr2,0,60.0,138.0,13.800000190734863,16.492000579833984,14.800000190734863,300.0,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.004999999888241291,0.16484418511390686,60.0
138/69 kV Timbeque 2 T1(140MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Timbeque 2 T1(140MVA).TypTr2,0,140.0,138.0,69.0,12.010000228881836,10.859577178955078,192.0800018310547,0.0,0.0,YNyn0,0,-15,15,1.0,0.0,0.0013719999697059393,0.12009216099977493,60.0
138/13.8 Trafo Los Mina 5 150 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 Trafo Los Mina 5 150 MVA.TypTr2,0,150.0,138.0,13.800000190734863,17.937000274658203,16.139999389648438,292.5,0.0,0.0,YNd1,0,-2,2,2.5,0.0,0.0019499999471008778,0.17935939133167267,60.0
138/69 kV Palamara T1 (140 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Palamara T1 (140 MVA).TypTr2,0,140.0,138.0,69.0,10.850000381469727,9.81578254699707,248.3000030517578,0.0,0.0,YNyn0,0,-11,11,1.0,0.0,0.0017735714791342616,0.10848550498485565,60.0
138/69 kV Palamara T2 (200 MVA),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Palamara T2 (200 MVA).TypTr2,0,200.0,138.0,69.0,15.675000190734863,14.22388744354248,1000.0,0.0,0.0,YNyn0,0,-10,10,1.25,0.0,0.004999999888241291,0.1566702425479889,60.0
138/13.8 kV Trafo EDM2 150 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo EDM2 150 MVA.TypTr2,0,150.0,138.0,13.800000190734863,14.229999542236328,12.807000160217285,750.0,0.0,0.0,YNd11,0,-8,8,1.25,0.0,0.004999999888241291,0.1422121226787567,60.0
138/13. Trafo Los Mina 7 150 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13. Trafo Los Mina 7 150 MVA.TypTr2,0,150.0,138.0,13.800000190734863,16.950000762939453,15.25510025024414,451.8800048828125,58.13999938964844,0.041999999433755875,YNd1,0,-2,2,2.5,0.0,0.00301253329962492,0.16947323083877563,60.0
138/69 kV Autotr Metropolitano 125 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Autotr Metropolitano 125 MVA.TypTr2,0,125.0,138.0,69.0,12.399999618530273,11.15999984741211,625.0,0.0,0.0,YNyn0,0,-11,11,1.0,0.0,0.004999999888241291,0.12389914691448212,60.0
138/13.8 kV Trafo SIBA 42 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo SIBA 42 MVA.TypTr2,0,42.0,138.0,13.800000190734863,12.75,11.479999542236328,108.08000183105469,26.554000854492188,0.10000000149011612,YNd1,0,-2,2,2.5,0.0,0.0025733334477990866,0.12747402489185333,60.0
145/13.8 kV Trafo SIBA 48 MVA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\145/13.8 kV Trafo SIBA 48 MVA.TypTr2,0,48.0,145.0,13.800000190734863,11.600000381469727,10.4399995803833,157.98300170898438,36.76499938964844,0.17000000178813934,YNd1,0,-2,2,2.5,0.0,0.0032913126051425934,0.11595329642295837,60.0
