nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Inner Load Area
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Los Orígenes.ElmSite\ZLORIE.ElmSubstat\2.ElmTerm\Cub_1.StaCubic\ZLORIE_ZXLO1E-L1-RED670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZLORIE,Load Area ZDS1
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,,Inner Load Area
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Tap 1 Los Orígenes.ElmTerm\Cub_3.StaCubic\ZLORIE_ZSPMAE-L1-RED670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,,Load Area ZDS1
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Inner Load Area
Load Area ZDS1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZAAINE-L1-REL670.ElmRelay\SC Dir-Z.ElmRelay\Load Area ZDS1.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Load Area ZDS1
Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-REL670.ElmRelay\Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Load Area
Outer Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Outer Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Outer Load Area
Inner Load Area,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\ZCLUIE.ElmSubstat\E2.ElmTerm\Cub_1.StaCubic\ZCLUIE_ZSPM2E-L1-REL670.ElmRelay\RPSB 78.ElmRelay\Inner Load Area.RelDisloadenc,1,ESTE CERCANO,ESTE,ESTE 138 kV,ZCLUIE,Inner Load Area
