nombre,ruta,cpZone,cpArea,cpGrid,cpSubstat
WMPLAF(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\69 kV Monte Plata.ElmTerm\WMPLAF(2).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WMPLAF(5),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\69 kV Monte Plata.ElmTerm\WMPLAF(5).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
Cub_1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\69 kV Monte Plata.ElmTerm\Cub_1.StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(3).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(3),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(3).ElmTerm\WBMPLAE(3).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(2),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(4).ElmTerm\WBMPLAE(2).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(4).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE.StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
WBMPLAE(1),\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\1.ElmTerm\WBMPLAE(1).StaCubic,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF
