nombre,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Aguacate 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Aguacate 1.ElmBmu,1,,,,
Bersal,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Bersal.ElmBmu,1,,,,
Punta Catalina 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Punta Catalina 2.ElmBmu,1,,,,
Larimar 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Larimar 1.ElmBmu,1,,,,
Monte Plata Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monte Plata Solar.ElmBmu,1,,,,
Palenque,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Palenque.ElmBmu,1,,,,
Larimar 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Larimar 2.ElmBmu,1,,,,
Monte Cristi Solar 1,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Monte Cristi Solar 1.ElmBmu,1,,,,
Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Agua Clara.ElmBmu,1,,,,
Guanillo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Guanillo.ElmBmu,1,,,,
Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Matafongo.ElmBmu,1,,,,
Bayasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Bayasol.ElmBmu,1,,,,
El Soco,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\El Soco.ElmBmu,1,,,,
Los Guzmancito,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Guzmancito.ElmBmu,1,,,,
Los Guzmancito 2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Los Guzmancito 2.ElmBmu,1,,,,
Canoa Solar,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Canoa Solar.ElmBmu,1,,,,
Girasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Girasol.ElmBmu,1,,,,
Santanasol,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Santanasol.ElmBmu,1,,,,
Mata de Palma,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\Mata de Palma.ElmBmu,1,,,,
SIBA,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Virtual Power Plants.IntBmu\SIBA.ElmBmu,1,,,,
