loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
POI V Measurement-Canoa Solar,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Canoa Solar.ElmSite\Planta_Canoa Solar.ElmComp\POI V Measurement-Canoa Solar.StaVmea,0,,,SUR 69 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Planta_Lucila.ElmComp\Voltage Measurement.StaVmea,0,,,SUR 69 kV,
Voltage Measurement-Barahona Carbón,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Voltage Measurement-Barahona Carbón.StaVmea,0,,,SUR 138 kV,
WTG Stator Voltage-Los Cocos 1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Planta_Los Cocos 1.ElmComp\WTG Stator Voltage-Los Cocos 1.StaVmea,1,,,SUR 138 kV,
WTG Stator Voltage-Los Cocos 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\Planta_Los Cocos 2.ElmComp\WTG Stator Voltage-Los Cocos 2.StaVmea,1,,,SUR 138 kV,
16_3Ph V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\BASLER DECS-200.ElmComp\16_3Ph V Measurement.StaVmea,0,,,SUR 138 kV,
17_1st SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\BASLER DECS-200.ElmComp\17_1st SPh V Measurement.StaVmea,0,,,SUR 138 kV,
18_2nd SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\BASLER DECS-200.ElmComp\18_2nd SPh V Measurement.StaVmea,0,,,SUR 138 kV,
19_PQ SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\BASLER DECS-200.ElmComp\19_PQ SPh V Measurement.StaVmea,0,,,SUR 138 kV,
Frequency Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\Frequency Measurement.StaVmea,0,,,SUR 138 kV,
16_3Ph V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\BASLER DECS-200.ElmComp\16_3Ph V Measurement.StaVmea,0,,,SUR 138 kV,
17_1st SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\BASLER DECS-200.ElmComp\17_1st SPh V Measurement.StaVmea,0,,,SUR 138 kV,
18_2nd SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\BASLER DECS-200.ElmComp\18_2nd SPh V Measurement.StaVmea,0,,,SUR 138 kV,
19_PQ SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\BASLER DECS-200.ElmComp\19_PQ SPh V Measurement.StaVmea,0,,,SUR 138 kV,
Frequency Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\Frequency Measurement.StaVmea,0,,,SUR 138 kV,
16_3Ph V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\16_3Ph V Measurement.StaVmea,0,,,SUR 138 kV,
17_1st SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\17_1st SPh V Measurement.StaVmea,0,,,SUR 138 kV,
18_2nd SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\18_2nd SPh V Measurement.StaVmea,0,,,SUR 138 kV,
19_PQ SPh V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\19_PQ SPh V Measurement.StaVmea,0,,,SUR 138 kV,
Frequency Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\Frequency Measurement.StaVmea,0,,,SUR 138 kV,
