branch_id,branch_base_id,branch_parallel_index,from_bus,to_bus,circuit_id,branch_type,r_pu,x_pu,fmax_mw,in_service_base,closure_flag,series_parameter_status,thermal_limit_status,closure_flag_is_binary,operational_status,closure_semantics_hint,pypsa_v1_component,pypsa_v1_include,tap_ratio_hint,pypsa_v1_mapping_reason,from_bus_in_buses,to_bus_in_buses,source_sheet,source_row_number
WCANAF__WXHMSF__L1,WCANAF__WXHMSF__L1,1,WCANAF,WXHMSF,L1,line,0.00669,0.02487,43.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,370
WCANAF__WXMVAF__L1,WCANAF__WXMVAF__L1,1,WCANAF,WXMVAF,L1,line,0.02041,0.03682,43.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,363
WCANAF__WXPINF__L1,WCANAF__WXPINF__L1,1,WCANAF,WXPINF,L1,line,0.0207486,0.02446491,32.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,364
WCANAF__WXTROF__L1,WCANAF__WXTROF__L1,1,WCANAF,WXTROF,L1,line,0.00507772,0.00598719,32.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,367
WCANAF__WZFSAF__L1,WCANAF__WZFSAF__L1,1,WCANAF,WZFSAF,L1,line,0.043772,0.162426,69.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,428
WCATAF__WABRUF__L1,WCATAF__WABRUF__L1,1,WCATAF,WABRUF,L1,line,0.0447,0.1489,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,145
WCATAF__WXCATF__L1,WCATAF__WXCATF__L1,1,WCATAF,WXCATF,L1,line,0.015789,0.057787,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,148
WCATAF__WXKVEF__L1,WCATAF__WXKVEF__L1,1,WCATAF,WXKVEF,L1,line,0.0279,0.1021,79.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,146
WCBOHF__WXBOHF__L1,WCBOHF__WXBOHF__L1,1,WCBOHF,WXBOHF,L1,line,0.002229,0.00829,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,37
WCBYNF__WXDISF__L1,WCBYNF__WXDISF__L1,1,WCBYNF,WXDISF,L1,line,0.001396,0.005176,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,162
WCC21E__WCCA2F__T1,WCC21E__WCCA2F__T1,1,WCC21E,WCCA2F,T1,transformer,0.00666667,0.1202153,75.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,601
WCC21E__WKQAZE__L1,WCC21E__WKQAZE__L1,1,WCC21E,WKQAZE,L1,line,0.0406181,0.1502276,136.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,600
