bus_id_modom,factor_retiro,factor_inyeccion
WLVICE,,0.991727
WMIR1E,,0.987218
WMP2AE,,0.986564
WMP2BE,,0.986564
WCOTAE,,1.006937
WCOTBE,,1.006937
WCOAPE,,0.983489
WPERAE,,0.977838
WPERBE,,0.977838
WLUCIF,,0.98755
WMARTF,,1.001506
WPAYBE,,1.088414
WMPL1D,,1.016131
WVILAE,,0.968284
