name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,tap_ratio_hint,has_tap_ratio_hint,tap_side_hint,source_branch_id,source_branch_type,source_row_number,notes
WTRINK__WRINCF__T1,WTRINK,WRINCF,,69.0,missing_bus_v_nom,0.1167238,0.7872171,10.1,,False,,WTRINK__WRINCF__T1,transformer,297,standard_branch
WTRJCK__WNAGUF__T1,WTRJCK,WNAGUF,,69.0,missing_bus_v_nom,0.32,3.746358,1.25,,False,,WTRJCK__WNAGUF__T1,transformer,321,standard_branch
WTSFVK__WSFELE__T1,WTSFVK,WSFELE,,138.0,missing_bus_v_nom,0.00093,0.04656,250.0,,False,,WTSFVK__WSFELE__T1,transformer,443,standard_branch
WTSYEK__WSYEGF__T1,WTSYEK,WSYEGF,,69.0,missing_bus_v_nom,0.1333689,0.6463721,15.0,,False,,WTSYEK__WSYEGF__T1,transformer,528,standard_branch
WTTA1K__WTAVBE__T1,WTTA1K,WTAVBE,,138.0,missing_bus_v_nom,0.008,0.2174529,50.0,,False,,WTTA1K__WTAVBE__T1,transformer,298,standard_branch
WTTA2K__WTAVBE__T1,WTTA2K,WTAVBE,,138.0,missing_bus_v_nom,0.00473373,0.1673177,65.0,,False,,WTTA2K__WTAVBE__T1,transformer,299,standard_branch
WTVE1K__WGVEGF__T1,WTVE1K,WGVEGF,,69.0,missing_bus_v_nom,0.00504096,0.0948497823,138.0,,False,,WTVE1K__WGVEGF__T1,transformer,382,standard_branch
WVALDE__WLBARF__T1,WVALDE,WLBARF,138.0,69.0,different_voltage_ok,0.1,2.057571,5.0,,False,,WVALDE__WLBARF__T1,transformer,522,standard_branch
WVALDE__WTVA1K__T1,WVALDE,WTVA1K,138.0,,missing_bus_v_nom,0.01666667,0.295502,30.0,,False,,WVALDE__WTVA1K__T1,transformer,525,standard_branch
WVALDE__WTVA2K__T1,WVALDE,WTVA2K,138.0,,missing_bus_v_nom,0.0167,0.2955002,30.0,,False,,WVALDE__WTVA2K__T1,transformer,526,standard_branch
WVDU1E__WVDUAF__T1,WVDU1E,WVDUAF,138.0,69.0,different_voltage_ok,0.00098,0.1057097,138.0,,False,,WVDU1E__WVDUAF__T1,transformer,251,standard_branch
WXCA1K__WCALAE__T1,WXCA1K,WCALAE,,138.0,missing_bus_v_nom,0.00833,0.2075,60.0,,False,,WXCA1K__WCALAE__T1,transformer,660,standard_branch
WXCU4K__WCUMBE__T1,WXCU4K,WCUMBE,,138.0,missing_bus_v_nom,0.005917,0.192217,65.0,,False,,WXCU4K__WCUMBE__T1,transformer,849,standard_branch
WXES2K__WESP1E__T1,WXES2K,WESP1E,,138.0,missing_bus_v_nom,0.006667,0.141443,75.0,,False,,WXES2K__WESP1E__T1,transformer,823,standard_branch
WXES3K__WESP1E__T1,WXES3K,WESP1E,,138.0,missing_bus_v_nom,0.006667,0.141443,75.0,,False,,WXES3K__WESP1E__T1,transformer,824,standard_branch
WXMPGK__WMPL1D__T1,WXMPGK,WMPL1D,,,missing_bus_v_nom,0.000448011930731145,0.0319600041689611,644.0,,False,,WXMPGK__WMPL1D__T1,transformer,807,standard_branch
WXSOSF__WSOSUF__T1,WXSOSF,WSOSUF,69.0,69.0,same_voltage_transformer_suspect,1.119e-05,4.096e-05,79.0,,False,,WXSOSF__WSOSUF__T1,transformer,463,standard_branch
WXVL1K__WVILAE__T1,WXVL1K,WVILAE,,138.0,missing_bus_v_nom,0.0043195,0.0764935,130.0,,False,,WXVL1K__WVILAE__T1,transformer,678,standard_branch
WYAGUF__WTNNAK__T1,WYAGUF,WTNNAK,69.0,,missing_bus_v_nom,0.027027,0.431587,18.0,,False,,WYAGUF__WTNNAK__T1,transformer,552,standard_branch
WZFSAF__WZFSAE__T1,WZFSAF,WZFSAE,69.0,138.0,different_voltage_ok,0.00098,0.1057097,140.0,0.98,True,,WZFSAF__WZFSAE__T1,transformer,488,transformer_with_tap_ratio
