branch_id,branch_type,from_bus,to_bus,pypsa_v1_component,exclusion_reason,closure_semantics_hint,operational_status,closure_flag,tap_ratio_hint,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,source_row_number
WCNPEE__WMETRE__L1,line,WCNPEE,WMETRE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,26
WDAJAF__WYAMAF__L1,line,WDAJAF,WYAMAF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,165
WEABAF__WXNAGF__L1,line,WEABAF,WXNAGF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,316
WESM3F__WEMB3F__L1,line,WESM3F,WEMB3F,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,130
WESP1E__WNAV2E__L2,line,WESP1E,WNAV2E,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,831
WGIRAE__WPIZAE__L1,line,WGIRAE,WPIZAE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,648
WGU1AD__WGU1BD__L1,line,WGU1AD,WGU1BD,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,,,missing_bus_v_nom,813
WHENUF__WXALDF__L1,line,WHENUF,WXALDF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,11
WHNS1F__WINVBF__L1,line,WHNS1F,WINVBF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,89
WINVIF__WINVBF__L1,line,WINVIF,WINVBF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,94
WITA1E__WXMETE__L1,line,WITA1E,WXMETE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,193
WJSAUD__WBON3D__L2,line,WJSAUD,WBON3D,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,345.0,138.0,line_voltage_mismatch,801
WJSAUE__WMETRE__L1,line,WJSAUE,WMETRE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,225
WKDMBF__WKDMEF__L1,line,WKDMBF,WKDMEF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,36
WKQAZE__WSJU2E__L1,line,WKQAZE,WSJU2E,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,675
WLCBOF__WXLCBF__L1,line,WLCBOF,WXLCBF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,293
WLCUAF__WAHOBF__L1,line,WLCUAF,WAHOBF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,41
WLMINF__WXGRCF__L1,line,WLMINF,WXGRCF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,43
WLROME__WHGUEE__L1,line,WLROME,WHGUEE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,753
WMETEE__WMETEF__T1,transformer,WMETEE,WMETEF,transformer,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,69.0,different_voltage_ok,196
WMETEF__WXMETF__L1,line,WMETEF,WXMETF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,197
WMETRE__WMETRF__T1,transformer,WMETRE,WMETRF,transformer,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,69.0,different_voltage_ok,226
WMETRE__WPARAE__L2,line,WMETRE,WPARAE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,223
WMLTPF__WXCBAF__L1,line,WMLTPF,WXCBAF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,143
WNAG2E__WMAT1E__L1,line,WNAG2E,WMAT1E,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,515
WNAG2E__WNAG2F__T2,transformer,WNAG2E,WNAG2F,transformer,out_of_service_base_case,nonbinary_control_value_on_out_of_service_branch,out_of_service,0.6875,,138.0,69.0,different_voltage_ok,208
WNAG2E__WRSJUE__L1,line,WNAG2E,WRSJUE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,69.0,line_voltage_mismatch,514
