loc_name,cerrado,uso,outserv,barra_for,barra,elemento,elemento_for,ruta
Switch,1,cbk,,WXSI3K,Terminal SIBA Grupo 3,SSAA SIBA Grupo 3,ZXSI3K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 3.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI3K,Terminal SIBA Grupo 3,138/13.8 kV Trafo SIBA Grupo 3,WSIBAE_WXSI3K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 3.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI4K,Terminal SIBA Grupo 4,SIBA Grupo 4,G4SIBA4,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 4.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI4K,Terminal SIBA Grupo 4,SSAA SIBA Grupo 4,ZXSI4K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 4.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI4K,Terminal SIBA Grupo 4,138/13.8 kV Trafo SIBA Grupo 4,WSIBAE_WXSI4K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 4.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI5K,Terminal SIBA Grupo 5,SSAA SIBA Grupo 5,ZXSI5K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 5.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI5K,Terminal SIBA Grupo 5,138/13.8 kV Trafo SIBA Grupo 5,WSIBBE_WXSI5K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 5.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI5K,Terminal SIBA Grupo 5,,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 5.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI5K,Terminal SIBA Grupo 5,SIBA Grupo 5,G4SIBA5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 5.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXSI6K,Terminal SIBA Grupo 6,SSAA SIBA Grupo 6,ZXSI6K-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 6.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI6K,Terminal SIBA Grupo 6,138/13.8 kV Trafo SIBA Grupo 6,WSIBAE_WXSI6K-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 6.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSI6K,Terminal SIBA Grupo 6,SIBA Grupo 6,G4SIBA6,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\Terminal SIBA Grupo 6.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSALMK,Terminal SA PE Los Mina,SA PE Los Mina,G6PEMINA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal SA PE Los Mina.ElmTerm\Cub_1.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSALMK,Terminal SA PE Los Mina,138/4.16 kV SA Parque Energ. Los Mina,WLMI6E_WXSALMK-T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal SA PE Los Mina.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,dct,,WXSALMK,Terminal SA PE Los Mina,SSAA Los Mina 5 y 6,ZLMI6E-D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal SA PE Los Mina.ElmTerm\Cub_3.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WOPREE,138 kV OPRET,Demanda 3 Paraíso,ZPARAE-D3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\138 kV OPRET.ElmTerm\Cub_2.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXEBQF,Tap Acueducto Quiniga,69 kV Derivación Acueducto Quinigua,ZAQUIF_ZXEBQF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Acueducto Quiniga.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
Switch,1,cbk,,WXOLVF,Tap Ochoa Las Lavas,69 kV Derivación F Ochoa Las Lavas,ZFOLVF_ZXOLVF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Ochoa Las Lavas.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
KPF CRUCE DE ESPERANZA 3,1,cbk,,WXESPF,Tap Esperanza,69 kV Navarrete – ZF Esperanza_e,ZXESPF_ZZESPF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Esperanza.ElmTerm\WXESPF(1).StaCubic\KPF CRUCE DE ESPERANZA 3.StaSwitch
KPF CRUCE DE ESPERANZA 2,1,cbk,,WXESPF,Tap Esperanza,69 kV Derivación Cruce de Esperanza,ZCESPF_ZXESPF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Esperanza.ElmTerm\WXESPF.StaCubic\KPF CRUCE DE ESPERANZA 2.StaSwitch
KPF CRUCE DE ESPERANZA 1,1,cbk,,WXESPF,Tap Esperanza,69 kV Navarrete – ZF Esperanza_d,ZXBDEF_WXESPF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Esperanza.ElmTerm\WXESPF(2).StaCubic\KPF CRUCE DE ESPERANZA 1.StaSwitch
KPF ACUEDUCTO SOSUA 3,1,cbk,,WXASOF,Tap Acueducto de Sosúa,69 kV Sosúa 2 – Sabaneta de Yásica_c,ZSOSUF_ZXASOF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Acueducto de Sosúa.ElmTerm\WXASOF(1).StaCubic\KPF ACUEDUCTO SOSUA 3.StaSwitch
KPF ACUEDUCTO SOSÚA 2,1,cbk,,WXASOF,Tap Acueducto de Sosúa,69 kV Derivación Acueducto Sosúa,ZAISOF_ZXASOF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Acueducto de Sosúa.ElmTerm\Cub_3.StaCubic\KPF ACUEDUCTO SOSÚA 2.StaSwitch
Switch,1,dct,,WXASOF,Tap Acueducto de Sosúa,69 kV Sosúa 2 – Sabaneta de Yásica_b,ZXSO2F_ZXASOF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Acueducto de Sosúa.ElmTerm\Cub_4.StaCubic\Switch.StaSwitch
KPF GUAZUMAL,1,cbk,,WXZGUF,Tap ZF Gurabo,69 kV Canabacoa – Playa Dorada_d,ZXPGAF_ZXZGUF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap ZF Gurabo.ElmTerm\WXZGUF.StaCubic\KPF GUAZUMAL.StaSwitch
Switch,1,dct,,WXZGUF,Tap ZF Gurabo,69 kV Derivación ZF de Gurabo,ZXZGUF_ZZGURF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap ZF Gurabo.ElmTerm\Cub_5.StaCubic\Switch.StaSwitch
KPF CEMENTOS CIBAO,1,cbk,,WXPICF,Tap Parque Industrial,69 kV Canabacoa – Cementos Cibao_c,ZCCIBF_ZXCCIF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Parque Industrial.ElmTerm\Cub_2.StaCubic\KPF CEMENTOS CIBAO.StaSwitch
KPF MAIMÓN,1,cbk,,WXMAIF,Tap Maimón,69 kV Bonao 2 – Hatillo_c,ZXMAIF_ZXLCBF-L1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Tap Maimón.ElmTerm\Cub_1.StaCubic\KPF MAIMÓN.StaSwitch
