loc_name,for_name,ruta,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,ukr_pct,Pcu_kW,Pfe_kW,i0_pct,grupo,con_AT,con_BT,tap_lado,tap_dU_pct,tap_fase_deg,tap_neutro,tap_min,tap_max,f_Hz
138/13.8 Trafo Jigüey 1 61.3 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 Trafo Jigüey 1 61.3 MVA.TypTr2,61.29999923706055,138.0,13.800000190734863,8.000040054321289,0.39902445673942566,244.6020050048828,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
138/13.8 kV Trafo Valdesia 2 32.5 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Valdesia 2 32.5 MVA.TypTr2,32.5,138.0,13.800000190734863,9.970000267028809,0.41214466094970703,133.94700622558594,0.0,0.0,YNd0,YN,D,0,2.5,0.0,0,-2,2,60.0
138/13.8 kV Trafo Valdesia 32.5 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Valdesia 32.5 MVA.TypTr2,32.5,138.0,13.800000190734863,9.920000076293945,0.41214466094970703,133.94700622558594,0.0,0.0,YNd0,YN,D,0,2.5,0.0,0,-2,2,60.0
138/13.2 kV Trafo Monterío 70 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.2 kV Trafo Monterío 70 MVA.TypTr2,70.0,138.0,13.199999809265137,14.380000114440918,0.5,350.0,0.0,0.0,YNd5,YN,D,0,2.5,0.0,0,-2,2,60.0
144.27/13.8 kV Trafo Itabo 1 150 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\144.27/13.8 kV Trafo Itabo 1 150 MVA.TypTr2,150.0,144.27000427246094,13.800000190734863,11.630000114440918,0.5550000071525574,832.5,0.0,0.0,YNd5,YN,D,0,2.5,0.0,0,-2,2,60.0
144.138/13.8 Trafo Itabo 2 156 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\144.138/13.8 Trafo Itabo 2 156 MVA.TypTr2,156.0,144.13800048828125,13.800000190734863,12.799400329589844,0.677884578704834,1057.5,0.0,0.0,YNd5,YN,D,0,2.5,0.0,0,-2,2,60.0
145/13.8 kV Trafo San Lorenzo 48 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\145/13.8 kV Trafo San Lorenzo 48 MVA.TypTr2,48.0,145.0,13.800000190734863,12.5,0.3333333432674408,160.0,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
138/34.5 kV Trafo Los Cocos 45 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Los Cocos 45 MVA.TypTr2,45.0,138.0,34.5,9.600000381469727,0.5,225.0,0.0,0.0,YNd11,YN,D,0,1.0,0.0,0,-13,13,60.0
138/34.5 kV Trafo Los Cocos 2 45 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Los Cocos 2 45 MVA.TypTr2,45.0,138.0,34.5,12.460000038146973,0.5,225.0,0.0,0.0,YNd11,YN,D,0,1.0,0.0,0,-13,13,60.0
138/13.8 kV Trafo Palomino 48 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/13.8 kV Trafo Palomino 48 MVA.TypTr2,48.0,138.0,13.800000190734863,12.972999572753906,0.5,240.0,0.0,0.0,YNd1,YN,D,0,2.5,0.0,0,-2,2,60.0
