loc_name,for_name,outserv,zona,area,red,ruta,typ_id,barra_con,barra_con_for,barra_con_kV,barra_con_id,P_MW,Q_Mvar,S_MVA,cos_phi,escala,modo_entrada
SSAA Quisqueya 1 G2,ZQU12K-D1,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\SSAA Quisqueya 1 G2.ElmLod,,E7,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E7.ElmTerm,1.3700000047683716,0.5799999833106995,1.4877163171768188,0.9208744764328003,1.0,DEF
SSAA Quisqueya 1 G3,ZQU13K-D1,0,ESTE CERCANO,ESTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\SSAA Quisqueya 1 G3.ElmLod,,E11,,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E11.ElmTerm,1.5399999618530273,0.6600000262260437,1.6754701137542725,0.9191449880599976,1.0,DEF
Demanda PVDC,ZPVDCD-D1,0,CIBAO SUR,NORTE,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\Demanda PVDC.ElmLod,,L2,,230.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\ZPVDCD.ElmSubstat\L2.ElmTerm,185.0,0.0,185.0,1.0,1.0,DEF
Demanda Punta Catalina,ZPCATL-D1,1,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Demanda Punta Catalina.ElmLod,,2,,138.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\ZPCATE1.ElmSubstat\2.ElmTerm,0.0,0.0,0.0,1.0,1.0,DEF
SSAA Punta Catalina 1,ZPCA1L-D1,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\SSAA Punta Catalina 1.ElmLod,,Terminal Punta Catalina 1,WPCA1K,22.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 1.ElmTerm,34.0,14.479999542236328,36.954978942871094,0.9200384020805359,1.0,DEF
SSAA Punta Catalina 2,ZPCA2L-D1,0,SUR CERCANO,SUR,Expansión 345 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\SSAA Punta Catalina 2.ElmLod,,Terminal Punta Catalina 2,WPCA2K,22.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\Terminal Punta Catalina 2.ElmTerm,36.0,15.34000015258789,39.13202667236328,0.9199625849723816,1.0,DEF
SSAA Sultana del Este 2,ZSES2K-D1,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\SSAA Sultana del Este 2.ElmLod,,Terminal Sultana del Este 2,WSES2K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 2.ElmTerm,0.0,0.0,0.0,1.0,1.0,PQ
SSAA Sultana del Este 3,ZSES3K-D1,1,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\SSAA Sultana del Este 3.ElmLod,,Terminal Sultana del Este 3,WSES3K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\Sultana del Este.ElmSite\Terminal Sultana del Este 3.ElmTerm,0.0,0.0,0.0,1.0,1.0,PQ
Demanda La Romana,ZLROME-D1,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\Demanda La Romana.ElmLod,,3,,138.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\3.ElmTerm,15.430000305175781,4.75,16.14457893371582,0.9557387828826904,1.0,PQ
Demanda 2 La Romana,WLROME-D2,0,ESTE PROFUNDO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\Demanda 2 La Romana.ElmLod,,7,,138.0,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\La Romana.ElmSite\ZLROME.ElmSubstat\7.ElmTerm,19.549999237060547,6.420000076293945,20.577144622802734,0.9500831961631775,1.0,DEF
SSAA CESPM 3,ZCES3K-D1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\SSAA CESPM 3.ElmLod,,Terminal CESPM 3,WCES3K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 3.ElmTerm,3.059999942779541,1.2999999523162842,3.324695348739624,0.9203850626945496,1.0,PQ
SSAA CESPM 2,ZCES2K-D1,0,ESTE CERCANO,ESTE,ESTE 138 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\SSAA CESPM 2.ElmLod,,Terminal CESPM 2,WCES2K,13.800000190734863,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\Terminal CESPM 2.ElmTerm,3.059999942779541,1.2999999523162842,3.324695348739624,0.9203850626945496,1.0,PQ
